"","bill_number","bill_link","bill_name","current_status","first_house_progress","second_house_progress","after_passage_progress","description","sponsors","requester","bill_history","democrat_sponsor_count","republican_sponsor_count","total_days_spent","season_years_active","party","general_status","chapter","year"
"24",1023,"https://app.leg.wa.gov/billsummary?BillNumber=1023&Year=2021&Initiative=false","HB 1023","C 54 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning predesign requirements and thresholds.","Steele, Tharinger, Callan, Young","No Requester","2021 REGULAR SESSION: Start Dec 14 End Feb 26. IN THE SENATE: Start Mar 2 End Apr 5. IN THE HOUSE: Start Apr 7 End Apr 7. IN THE SENATE: Start Apr 9 End Apr 9. OTHER THAN LEGISLATIVE ACTION: Start Apr 13 End Apr 16.",2,2,123,"2021","bipartisan","passed",54,21
"25",1024,"https://app.leg.wa.gov/billsummary?BillNumber=1024&Year=2021&Initiative=false","HB 1024","HState Govt & T","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning sunshine committee recommendations regarding juveniles.","Springer, Cody, Ortiz-Self, Gregerson","No Requester","2021 REGULAR SESSION: Start Dec 15 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",4,0,391,"2021-2022","democrat","in committee",NA,NA
"26",1025,"https://app.leg.wa.gov/billsummary?BillNumber=1025&Year=2021&Initiative=false","Substitute - SHB 1025","HRules R","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning local parks funding options.","Wicks, Eslick, Shewmake, Duerr, Ramel, Senn, Ortiz-Self, Ryu, Goehner, Jacobsen, Pollet","No Requester","2021 REGULAR SESSION: Start Dec 15 End Feb 4. 2022 REGULAR SESSION: Start Jan 10 End Jan 28.",8,3,409,"2021-2022","bipartisan","rules committee",NA,NA
"27",1026,"https://app.leg.wa.gov/billsummary?BillNumber=1026&Year=2021&Initiative=false","HB 1026","HCivil R & Judi","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the restoration of the right to possess a firearm.","Walen, Valdez, Leavitt, Hackney, Kirby, Santos, Macri","No Requester","2021 REGULAR SESSION: Start Dec 15 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",6,0,391,"2021-2022","democrat","in committee",NA,NA
"28",1027,"https://app.leg.wa.gov/billsummary?BillNumber=1027&Year=2021&Initiative=false","HB 1027","HApprops","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Reducing the administrative cost of state government during the 2021-2023 fiscal biennium.","Walsh, Young","No Requester","2021 REGULAR SESSION: Start Dec 16 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,2,390,"2021-2022","republican","in committee",NA,NA
"29",1028,"https://app.leg.wa.gov/billsummary?BillNumber=1028&Year=2021&Initiative=false","2nd Substitute - 2SHB 1028","C 198 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning evaluation and recommendation of candidates for residency teacher certification.","Bergquist, McCaslin, Dolan, Stonier, Pollet","No Requester","2021 REGULAR SESSION: Start Dec 16 End Feb 24. IN THE SENATE: Start Feb 26 End Apr 10. IN THE HOUSE: Start Apr 15 End Apr 15. IN THE SENATE: Start Apr 20 End Apr 20. IN THE HOUSE: Start Apr 21 End Apr 21. IN THE SENATE: Start Apr 22 End Apr 22. OTHER THAN LEGISLATIVE ACTION: Start Apr 22 End May 10.",4,1,145,"2021","bipartisan","passed",198,21
"30",1029,"https://app.leg.wa.gov/billsummary?BillNumber=1029&Year=2021&Initiative=false","HB 1029","HState Govt & T","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning orders and rules during a state of emergency.","Walsh, Klippert, Boehnke, Eslick, Young, Graham, Kraft, Barkis, Sutherland","No Requester","2021 REGULAR SESSION: Start Dec 16 End Feb 8. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",0,9,390,"2021-2022","republican","in committee",NA,NA
"31",1030,"https://app.leg.wa.gov/billsummary?BillNumber=1030&Year=2021&Initiative=false","HB 1030","HRules X","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning a community aviation revitalization loan program.","Dent, Springer, Boehnke, Eslick, Callan, Slatter","No Requester","2021 REGULAR SESSION: Start Dec 16 End Mar 6. IN THE SENATE: Start Mar 9 End Apr 25. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",3,3,390,"2021-2022","bipartisan","x-file",NA,NA
"32",1031,"https://app.leg.wa.gov/billsummary?BillNumber=1031&Year=2021&Initiative=false","HB 1031","C 55 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning the government issuance of a certificate of birth resulting in stillbirth.","Walen, Valdez, Leavitt, Ortiz-Self, Springer, Stonier, Santos","No Requester","2021 REGULAR SESSION: Start Dec 17 End Feb 25. IN THE SENATE: Start Mar 1 End Apr 6. IN THE HOUSE: Start Apr 7 End Apr 7. IN THE SENATE: Start Apr 9 End Apr 9. OTHER THAN LEGISLATIVE ACTION: Start Apr 13 End Apr 16.",5,0,120,"2021","democrat","passed",55,21
"33",1032,"https://app.leg.wa.gov/billsummary?BillNumber=1032&Year=2021&Initiative=false","HB 1032","HApprops","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning early retirement options for members of the teachers' retirement system and school employees' retirement system plans 2 and 3.","Harris, Stonier, Dolan, Boehnke, Leavitt, Ortiz-Self, Callan, Riccelli, Santos, Bergquist","No Requester","2021 REGULAR SESSION: Start Dec 17 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",7,2,389,"2021-2022","bipartisan","in committee",NA,NA
"34",1033,"https://app.leg.wa.gov/billsummary?BillNumber=1033&Year=2021&Initiative=false","2nd Substitute - 2SHB 1033","C 116 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning the Washington customized employment training program.","Leavitt, Boehnke, Bronoske, Santos, Paul, Orwall","No Requester","2021 REGULAR SESSION: Start Dec 18 End Mar 3. IN THE SENATE: Start Mar 6 End Apr 11. IN THE HOUSE: Start Apr 13 End Apr 13. IN THE SENATE: Start Apr 19 End Apr 19. OTHER THAN LEGISLATIVE ACTION: Start Apr 20 End Apr 26.",4,1,129,"2021","bipartisan","passed",116,21
"35",1034,"https://app.leg.wa.gov/billsummary?BillNumber=1034&Year=2021&Initiative=false","HB 1034","C 117 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning park and recreation district levies.","Fitzgibbon, Cody, Ortiz-Self, Wylie","No Requester","2021 REGULAR SESSION: Start Dec 18 End Mar 4. IN THE SENATE: Start Mar 6 End Apr 6. IN THE HOUSE: Start Apr 12 End Apr 14. IN THE SENATE: Start Apr 19 End Apr 19. OTHER THAN LEGISLATIVE ACTION: Start Apr 20 End Apr 26.",4,0,129,"2021","democrat","passed",117,21
"36",1035,"https://app.leg.wa.gov/billsummary?BillNumber=1035&Year=2021&Initiative=false","HB 1035","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Providing local governments with options to grant rent relief and preserve affordable housing in their communities.","Kloba, Ryu, Ortiz-Self, Duerr, Wylie, Tharinger, Ramel, Gregerson, Valdez, Hackney, Callan, Santos, Pollet, Harris-Talley","No Requester","2021 REGULAR SESSION: Start Dec 18 End Feb 18. 2022 REGULAR SESSION: Start Jan 10 End Feb 3.",13,1,412,"2021-2022","bipartisan","in committee",NA,NA
"37",1036,"https://app.leg.wa.gov/billsummary?BillNumber=1036&Year=2021&Initiative=false","HB 1036","HEnv & Energy","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Reducing greenhouse gas emissions by reducing the carbon intensity of transportation fuel.","Fitzgibbon, Slatter, Ortiz-Self, Berry, Ryu, Kloba, Bateman, Lekanoff, Duerr, Chopp, Wylie, Ramos, Tharinger, Ramel, Senn, Peterson, Gregerson, Goodman, Valdez, Callan, Hackney, Riccelli, Pollet, Frame, Santos, Macri, Orwall, Davis, Bergquist","No Requester","2021 REGULAR SESSION: Start Dec 18 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",29,0,388,"2021-2022","democrat","in committee",NA,NA
"38",1037,"https://app.leg.wa.gov/billsummary?BillNumber=1037&Year=2021&Initiative=false","Substitute - SHB 1037","C 22 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning insurance adjusters.","Kirby, Vick","Insurance Commissioner","2021 REGULAR SESSION: Start Dec 18 End Feb 3. IN THE SENATE: Start Feb 5 End Mar 30. IN THE HOUSE: Start Apr 3 End Apr 3. IN THE SENATE: Start Apr 5 End Apr 5. OTHER THAN LEGISLATIVE ACTION: Start Apr 8 End Apr 14.",1,1,117,"2021","bipartisan","passed",22,21
"39",1038,"https://app.leg.wa.gov/billsummary?BillNumber=1038&Year=2021&Initiative=false","HB 1038","HCivil R & Judi","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Prohibiting the possession of firearms by persons convicted of certain criminal offenses.","Walen, Leavitt, Ortiz-Self, Wylie, Valdez, Hackney, Macri","No Requester","2021 REGULAR SESSION: Start Dec 21 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",7,0,385,"2021-2022","democrat","in committee",NA,NA
"40",1039,"https://app.leg.wa.gov/billsummary?BillNumber=1039&Year=2021&Initiative=false","HB 1039","HTransportation","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Reporting on, updating, and expanding deployment of existing government programs that provide education on bicycle and pedestrian travel.","McCaslin, Kloba","No Requester","2021 REGULAR SESSION: Start Dec 21 End Feb 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",1,1,385,"2021-2022","bipartisan","in committee",NA,NA
"41",1040,"https://app.leg.wa.gov/billsummary?BillNumber=1040&Year=2021&Initiative=false","HB 1040","HApprops","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning health care coverage for retired or disabled school employees.","Dolan, Bateman, Ortiz-Self, Lekanoff, Harris, Goodman, Callan, Santos, Bergquist, Pollet","No Requester","2021 REGULAR SESSION: Start Dec 22 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",9,1,384,"2021-2022","bipartisan","in committee",NA,NA
"42",1041,"https://app.leg.wa.gov/billsummary?BillNumber=1041&Year=2021&Initiative=false","Engrossed Substitute - ESHB 1041","HRules 3C","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning sunshine committee recommendations regarding juveniles.","Springer, Cody, Ortiz-Self, Gregerson, Frame, Jacobsen","No Requester","2021 REGULAR SESSION: Start Dec 22 End Mar 2. IN THE SENATE: Start Mar 5 End Apr 25. 2022 REGULAR SESSION: Start Jan 10 End Jan 21. IN THE SENATE: Start Jan 25 End Mar 10.",5,1,443,"2021-2022","bipartisan","rules committee",NA,NA
"43",1042,"https://app.leg.wa.gov/billsummary?BillNumber=1042&Year=2021&Initiative=false","HB 1042","C 23 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Revising the international application of the uniform child custody jurisdiction and enforcement act to protect families from facing the death penalty in certain foreign jurisdictions on the basis of religious beliefs, political beliefs, or sexual orientation.","Thai, Walen, Ortiz-Self, Lekanoff, Gregerson, Callan, Frame, Santos, Macri","No Requester","2021 REGULAR SESSION: Start Dec 22 End Jan 22. IN THE SENATE: Start Jan 26 End Mar 30. IN THE HOUSE: Start Apr 12 End Apr 13. IN THE SENATE: Start Apr 14 End Apr 14. OTHER THAN LEGISLATIVE ACTION: Start Apr 14 End Apr 14.",8,0,113,"2021","democrat","passed",23,21
"44",1043,"https://app.leg.wa.gov/billsummary?BillNumber=1043&Year=2021&Initiative=false","Substitute - SHB 1043","HRules C","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the audiology and speech-language pathology interstate compact.","Leavitt, Rude, Dufault, Kloba, Ryu, Ortiz-Self, Dolan, Wylie, Harris, Simmons, Goodman, Bronoske, Kirby, MacEwen","No Requester","2021 REGULAR SESSION: Start Dec 22 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Feb 22.",10,4,427,"2021-2022","bipartisan","rules committee",NA,NA
"45",1044,"https://app.leg.wa.gov/billsummary?BillNumber=1044&Year=2021&Initiative=false","2nd Substitute - 2SHB 1044","C 200 L 21","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Creating prison to postsecondary education pathways.","Leavitt, Simmons, Jesse Johnson, Eslick, Lovick, Kloba, Lekanoff, Wylie, Bateman, Senn, Goodman, Bronoske, Valdez, Callan, Ramos, Hackney, Morgan, Ormsby, Fey, Frame, Santos, Davis, Pollet, Bergquist","No Requester","2021 REGULAR SESSION: Start Dec 22 End Feb 25. IN THE SENATE: Start Mar 1 End Apr 9. IN THE HOUSE: Start Apr 14 End Apr 20. IN THE SENATE: Start Apr 21 End Apr 21. OTHER THAN LEGISLATIVE ACTION: Start Apr 22 End May 10.",23,1,139,"2021","bipartisan","passed",200,21
"46",1045,"https://app.leg.wa.gov/billsummary?BillNumber=1045&Year=2021&Initiative=false","HB 1045","HApprops","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Calculating the provider rate for certain community residential services.","Lovick, Wicks, Ryu, Kloba, Ortiz-Self, Tharinger","No Requester","2021 REGULAR SESSION: Start Dec 22 End Jan 11. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",6,0,384,"2021-2022","democrat","in committee",NA,NA
"47",1046,"https://app.leg.wa.gov/billsummary?BillNumber=1046&Year=2021&Initiative=false","HB 1046","HEnv & Energy","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning community solar programs.","Bateman, Duerr, Leavitt, Shewmake, Kloba, Fitzgibbon, Dolan, Ramos, Ramel, Gregerson, Goodman, Ryu, Callan, Paul, Morgan, Riccelli, Pollet, Santos, Macri, Davis, Harris-Talley","No Requester","2021 REGULAR SESSION: Start Dec 22 End Feb 5. 2022 REGULAR SESSION: Start Jan 10 End Jan 10.",20,1,384,"2021-2022","bipartisan","in committee",NA,NA
